File,Original Unique Paths,NMF Subgraphs,NMF Segment Count,NMF Compression Rate (%),NMF Reconstruct,Layer Subgraphs,Layer Segment Count,Layer Compression Rate (%),Layer Reconstruct
p4_14_samples_outputs__parser_dc_full-first.p4.json,590,3,286,51.53,True,2,327,44.58,True
p4_14_samples_outputs__parser_dc_full-frontend.p4.json,590,3,286,51.53,True,2,327,44.58,True
p4_14_samples_outputs__parser_dc_full-midend.p4.json,590,3,286,51.53,True,2,327,44.58,True
p4_14_samples_outputs__parser_dc_full.p4.json,590,3,286,51.53,True,2,327,44.58,True
p4_14_samples_outputs__port_vlan_mapping-first.p4.json,590,3,284,51.86,True,2,326,44.75,True
p4_14_samples_outputs__port_vlan_mapping-frontend.p4.json,590,3,284,51.86,True,2,326,44.75,True
p4_14_samples_outputs__port_vlan_mapping-midend.p4.json,590,3,284,51.86,True,2,326,44.75,True
p4_14_samples_outputs__port_vlan_mapping.p4.json,590,3,284,51.86,True,2,326,44.75,True
p4_14_samples_outputs__switch_20160512__switch-first.p4.json,7945,6,1133,85.74,True,3,2654,66.6,True
p4_14_samples_outputs__switch_20160512__switch-frontend.p4.json,7945,6,1133,85.74,True,3,2654,66.6,True
p4_14_samples_outputs__switch_20160512__switch-midend.p4.json,7369,6,1082,85.32,True,2,3001,59.28,True
p4_14_samples_outputs__switch_20160512__switch.p4.json,7945,6,1133,85.74,True,3,2654,66.6,True
p4_16_samples_outputs__issue1897-bmv2-midend.p4.json,73,10,23,68.49,True,4,23,68.49,True
p4_16_samples_outputs__parser-unroll-test9-midend.p4.json,17,2,21,-23.53,True,2,23,-35.29,True
p4_16_samples_outputs__pins__pins_fabric-first.p4.json,208,2,109,47.6,True,3,97,53.37,True
p4_16_samples_outputs__pins__pins_fabric-frontend.p4.json,208,2,109,47.6,True,3,97,53.37,True
p4_16_samples_outputs__pins__pins_fabric-midend.p4.json,209,2,110,47.37,True,3,99,52.63,True
p4_16_samples_outputs__pins__pins_middleblock-first.p4.json,208,2,109,47.6,True,3,97,53.37,True
p4_16_samples_outputs__pins__pins_middleblock-frontend.p4.json,208,2,109,47.6,True,3,97,53.37,True
p4_16_samples_outputs__pins__pins_middleblock-midend.p4.json,209,2,110,47.37,True,3,99,52.63,True
p4_16_samples_outputs__synthetic__balanced_dag500.p4.json,500,10,80,84.0,True,3,64,87.2,True
